Year,Month,Vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,399543.683317324 ,80.9,68.8,74.85,2
2007,2,403291.551702314 ,80.2,66.7,73.45,1
2007,3,508502.850419617 ,80.5,67.9,74.2,0
2007,4,537168.307802743 ,83.6,69.7,76.65,1
2007,5,537468.052813019 ,85,71.6,78.3,0
2007,6,625215.882966856 ,87.3,74.1,80.7,1
2007,7,670626.019979583 ,88,75.2,81.6,0
2007,8,650987.036705356 ,88.3,75.8,82.05,0
2007,9,478746.204571274 ,88.2,74.9,81.55,1
2007,10,498260.310906843 ,86.3,74,80.15,1
2007,11,509835.248975995 ,82.7,70.5,76.6,2
2007,12,564294.596544970 ,80,71.1,75.55,2
2008,1,401371.470960549 ,79.5,67.6,73.55,2
2008,2,399462.105609741 ,81,68.4,74.7,1
2008,3,494879.822379499 ,83.8,70.7,77.25,0
2008,4,435427.753320018 ,83.7,70.7,77.2,1
2008,5,452646.662214645 ,85.5,72.9,79.2,0
2008,6,493357.280318533 ,86.8,74.1,80.45,1
2008,7,518321.070516345 ,88.9,75.5,82.2,0
2008,8,496605.228943413 ,88.4,74.8,81.6,0
2008,9,359412.684895853 ,87.4,73.5,80.45,1
2008,10,376002.814906708 ,85.6,73.7,79.65,1
2008,11,360642.214677993 ,83.2,71.3,77.25,2
2008,12,365644.666552730 ,83.2,71.3,77.25,2
2009,1,312548.244891580 ,66.9,52.7,59.8,2
2009,2,330961.157441510 ,66.9,51.4,59.15,1
2009,3,355746.782533770 ,66.7,52.2,59.45,0
2009,4,409175.763365563 ,68.2,53.5,60.85,1
2009,5,455562.103054431 ,70.2,56.7,63.45,0
2009,6,489183.979705527 ,73.9,51.8,62.85,1
2009,7,521807.663708061 ,74.5,58.8,66.65,0
2009,8,475347.992455710 ,76.2,58.9,67.55,0
2009,9,363774.509952172 ,75.6,58,66.8,1
2009,10,380776.297611528 ,75.1,59.8,67.45,1
2009,11,353463.707102801 ,72.5,56.1,64.3,2
2009,12,378971.359165825 ,70.1,53.7,61.9,2
2010,1,309323.588675133 ,69.2,54,61.6,2
2010,2,307324.906884420 ,68,51.7,59.85,1
2010,3,392913.211332025 ,69.1,52.6,60.85,0
2010,4,411556.538427012 ,69.7,53.4,61.55,1
2010,5,416450.724400986 ,71.6,55.4,63.5,0
2010,6,481024.057971014 ,73.3,56,64.65,1
2010,7,501837.618470592 ,74.2,56.5,65.35,0
2010,8,464253.928571429 ,74.3,56.7,65.5,0
2010,9,384545.005736005 ,74.3,56.7,65.5,1
2010,10,427101.869675309 ,74,57,65.5,1
2010,11,369983.333333333 ,72.1,55.9,64,2
2010,12,390680.923756614 ,70,55.4,62.7,2
2011,1,323269.876542998 ,67.8,53.1,60.45,2
2011,2,321166.439696931 ,68.2,54.7,61.45,1
2011,3,379428.971076498 ,69.8,54.5,62.15,0
2011,4,465459.885101267 ,69.7,55.3,62.5,1
2011,5,444658.642531234 ,71.5,56.6,64.05,0
2011,6,505946.364604142 ,72.1,56.4,64.25,1
2011,7,533200.846488168 ,73.6,56.5,65.05,0
2011,8,495997.347738778 ,74.6,57.1,65.85,0
2011,9,429432.129475220 ,74.2,56.7,65.45,1
2011,10,425669.476601212 ,72.9,56.2,64.55,1
2011,11,402552.493571920 ,71,55.5,63.25,2
2011,12,451707.148799443 ,69.4,53.6,61.5,2
2012,1,351466.851963182 ,69.8,53.4,61.6,2
2012,2,364579.941608028 ,65.9,50.6,58.25,1
2012,3,446445.562699359 ,68.8,53,60.9,0
2012,4,467796.065692573 ,69.6,53.3,61.45,1
2012,5,461709.609460129 ,71.4,54.1,62.75,0
2012,6,526892.557580948 ,71.5,55.5,63.5,1
2012,7,530726.414393842 ,72.6,56.2,64.4,0
2012,8,527389.972241714 ,74.5,57.2,65.85,0
2012,9,445745.552728739 ,72.2,56.5,64.4,1
2012,10,449085.102456018 ,73.2,57,65.1,1
2012,11,463167.024737531 ,71.8,54.7,63.25,2
2012,12,497217.666935439 ,70.5,54.6,62.55,2
2013,1,408296.861263390 ,68.6,52.8,60.7,2
2013,2,404087.865277589 ,68.8,50.3,59.55,1
2013,3,482868.849746518 ,67.7,51.3,59.5,0
2013,4,476843.527159349 ,67.6,51.9,59.75,1
2013,5,471973.661173111 ,71.1,56.3,63.7,0
2013,6,575747.332636962 ,70.2,54.8,62.5,1
2013,7,564840.212251878 ,74.4,57.9,66.15,0
2013,8,544559.070294159 ,74.9,57,65.95,0
2013,9,414644.029502734 ,75.6,58.2,66.9,1
2013,10,451818.527318849 ,73.2,58.1,65.65,1
2013,11,450633.967034711 ,62.2,49,55.6,2
2013,12,442048.301077059 ,63.4,49.7,56.55,2
2014,1,401367.995101948 ,67.4,52.7,60.05,2
2014,2,360537.458484115 ,69.3,55.4,62.35,1
2014,3,443623.376411941 ,68.9,54,61.45,0
2014,4,469709.991130015 ,70.6,54.3,62.45,1
2014,5,486472.873801949 ,71.1,56.3,63.7,0
2014,6,564183.559062408 ,71.3,54.4,62.85,1
2014,7,590500.416477458 ,75.2,58.4,66.8,0
2014,8,534926.343825534 ,76.4,58.4,67.4,0
2014,9,424288.127574747 ,65.6,51.6,58.6,1
2014,10,451457.904371845 ,74.2,59.4,66.8,1
2014,11,443244.587355938 ,71.9,56.5,64.2,2
2014,12,484917.285606252 ,67.9,51,59.45,2
2015,1,410737.681123598 ,62.9,48.2,55.55,2
2015,2,387851.295207399 ,68.8,53.9,61.35,1
2015,3,507413.704592873 ,68,52.5,60.25,0
2015,4,499938.721524718 ,72.2,55,63.6,1
2015,5,518801.917481110 ,65.6,51.5,58.55,0
2015,6,591037.195037105 ,73.1,55.5,64.3,1
2015,7,623302.054510956 ,75.5,60.3,67.9,0
2015,8,556774.006044748 ,77,62.9,69.95,0
2015,9,445376.769657092 ,73.4,60.4,66.9,1
2015,10,492988.363069226 ,75.3,59.5,67.4,1
2015,11,462056.168295185 ,71.6,56.2,63.9,2
2015,12,525505.572737237 ,50.1,38.7,44.4,2