Year,Month,vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,249037.114452976 ,80.9,68.8,74.85,2
2007,2,246756.544661578 ,80.2,66.7,73.45,1
2007,3,313931.915193625 ,80.5,67.9,74.2,0
2007,4,260163.868108137 ,83.6,69.7,76.65,1
2007,5,283743.395569791 ,85,71.6,78.3,0
2007,6,307734.912425217 ,87.3,74.1,80.7,1
2007,7,334854.425458521 ,88,75.2,81.6,0
2007,8,322806.872659347 ,88.3,75.8,82.05,0
2007,9,227359.854665793 ,88.2,74.9,81.55,1
2007,10,255991.754266314 ,86.3,74,80.15,1
2007,11,253262.932852703 ,82.7,70.5,76.6,2
2007,12,316723.077638290 ,80,71.1,75.55,2
2008,1,273042.225685355 ,79.5,67.6,73.55,2
2008,2,271168.001625915 ,81,68.4,74.7,1
2008,3,276851.175643806 ,83.8,70.7,77.25,0
2008,4,214721.265760797 ,83.7,70.7,77.2,1
2008,5,216893.034247263 ,85.5,72.9,79.2,0
2008,6,191788.046693919 ,86.8,74.1,80.45,1
2008,7,208930.558199505 ,88.9,75.5,82.2,0
2008,8,188938.488138356 ,88.4,74.8,81.6,0
2008,9,140515.063008525 ,87.4,73.5,80.45,1
2008,10,203700.698825933 ,85.6,73.7,79.65,1
2008,11,171881.329057477 ,83.2,71.3,77.25,2
2008,12,182963.526990161 ,83.2,71.3,77.25,2
2009,1,167395.117593153 ,66.9,52.7,59.8,2
2009,2,161591.480813506 ,66.9,51.4,59.15,1
2009,3,151120.457193837 ,66.7,52.2,59.45,0
2009,4,181306.339087194 ,68.2,53.5,60.85,1
2009,5,153998.573210686 ,70.2,56.7,63.45,0
2009,6,160579.103772808 ,73.9,51.8,62.85,1
2009,7,224973.668843926 ,74.5,58.8,66.65,0
2009,8,181551.909639567 ,76.2,58.9,67.55,0
2009,9,161593.307167287 ,75.6,58,66.8,1
2009,10,182084.421258763 ,75.1,59.8,67.45,1
2009,11,155876.041669300 ,72.5,56.1,64.3,2
2009,12,186142.197549428 ,70.1,53.7,61.9,2
2010,1,184327.058440218 ,69.2,54,61.6,2
2010,2,162589.550795685 ,68,51.7,59.85,1
2010,3,158645.241898268 ,69.1,52.6,60.85,0
2010,4,161348.608000288 ,69.7,53.4,61.55,1
2010,5,152737.046360687 ,71.6,55.4,63.5,0
2010,6,170068.115942029 ,73.3,56,64.65,1
2010,7,214157.117685576 ,74.2,56.5,65.35,0
2010,8,160400.000000000 ,74.3,56.7,65.5,0
2010,9,140599.408262613 ,74.3,56.7,65.5,1
2010,10,188267.925938544 ,74,57,65.5,1
2010,11,175100.000000000 ,72.1,55.9,64,2
2010,12,192955.271999139 ,70,55.4,62.7,2
2011,1,183128.773345956 ,67.8,53.1,60.45,2
2011,2,180796.705996978 ,68.2,54.7,61.45,1
2011,3,353792.008710915 ,69.8,54.5,62.15,0
2011,4,162913.483740609 ,69.7,55.3,62.5,1
2011,5,152566.510522813 ,71.5,56.6,64.05,0
2011,6,170034.610044286 ,72.1,56.4,64.25,1
2011,7,172067.360571679 ,73.6,56.5,65.05,0
2011,8,159764.147655402 ,74.6,57.1,65.85,0
2011,9,140518.236162935 ,74.2,56.7,65.45,1
2011,10,163186.279479481 ,72.9,56.2,64.55,1
2011,11,171974.306440554 ,71,55.5,63.25,2
2011,12,190275.249611351 ,69.4,53.6,61.5,2
2012,1,186340.297359032 ,69.8,53.4,61.6,2
2012,2,197869.158629490 ,65.9,50.6,58.25,1
2012,3,172390.771613338 ,68.8,53,60.9,0
2012,4,167368.022825264 ,69.6,53.3,61.45,1
2012,5,168788.567517192 ,71.4,54.1,62.75,0
2012,6,174937.251661169 ,71.5,55.5,63.5,1
2012,7,225450.635896998 ,72.6,56.2,64.4,0
2012,8,162107.465780552 ,74.5,57.2,65.85,0
2012,9,155922.633716655 ,72.2,56.5,64.4,1
2012,10,174054.871505541 ,73.2,57,65.1,1
2012,11,167081.468598259 ,71.8,54.7,63.25,2
2012,12,218567.863692134 ,70.5,54.6,62.55,2
2013,1,243728.075113971 ,68.6,52.8,60.7,2
2013,2,162129.822454929 ,68.8,50.3,59.55,1
2013,3,177472.343439253 ,67.7,51.3,59.5,0
2013,4,162740.825372397 ,67.6,51.9,59.75,1
2013,5,185711.010895393 ,71.1,56.3,63.7,0
2013,6,186215.870414414 ,70.2,54.8,62.5,1
2013,7,200168.875711365 ,74.4,57.9,66.15,0
2013,8,162794.929232697 ,74.9,57,65.95,0
2013,9,162228.521435886 ,75.6,58.2,66.9,1
2013,10,200344.155410197 ,73.2,58.1,65.65,1
2013,11,188269.673844288 ,62.2,49,55.6,2
2013,12,229512.590677216 ,63.4,49.7,56.55,2
2014,1,215049.014896779 ,67.4,52.7,60.05,2
2014,2,180270.105127879 ,69.3,55.4,62.35,1
2014,3,171442.318008714 ,68.9,54,61.45,0
2014,4,178042.027547929 ,70.6,54.3,62.45,1
2014,5,197306.073664377 ,71.1,56.3,63.7,0
2014,6,232637.125270014 ,71.3,54.4,62.85,1
2014,7,224090.110745796 ,75.2,58.4,66.8,0
2014,8,184085.276186573 ,76.4,58.4,67.4,0
2014,9,173612.911971480 ,65.6,51.6,58.6,1
2014,10,188474.264597479 ,74.2,59.4,66.8,1
2014,11,206454.252144106 ,71.9,56.5,64.2,2
2014,12,247526.281402948 ,67.9,51,59.45,2
2015,1,243344.810075568 ,62.9,48.2,55.55,2
2015,2,341141.760475470 ,68.8,53.9,61.35,1
2015,3,271253.828081192 ,68,52.5,60.25,0
2015,4,185198.569104363 ,72.2,55,63.6,1
2015,5,221254.485994716 ,65.6,51.5,58.55,0
2015,6,219000.398867792 ,73.1,55.5,64.3,1
2015,7,206975.526093963 ,75.5,60.3,67.9,0
2015,8,193789.830703730 ,77,62.9,69.95,0
2015,9,154101.646627994 ,73.4,60.4,66.9,1
2015,10,169218.506089843 ,75.3,59.5,67.4,1
2015,11,170509.748533703 ,71.6,56.2,63.9,2
2015,12,233957.439585204 ,50.1,38.7,44.4,2