Year,Month,Total_Visitors,expenditure(million),Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,577231.792499553 ,1089.873966,80.9,68.8,74.85,2
2007,2,574762.708266432 ,996.7654595,80.2,66.7,73.45,1
2007,3,674532.008123142 ,1028.064539,80.5,67.9,74.2,0
2007,4,597477.560216996 ,957.5423145,83.6,69.7,76.65,1
2007,5,586545.552061273 ,922.25895,85,71.6,78.3,0
2007,6,672585.524030304 ,1135.551916,87.3,74.1,80.7,1
2007,7,711263.324714901 ,1191.929915,88,75.2,81.6,0
2007,8,733025.281440473 ,1177.585179,88.3,75.8,82.05,0
2007,9,558430.761368033 ,911.1759384,88.2,74.9,81.55,1
2007,10,570646.621155786 ,969.321885,86.3,74,80.15,1
2007,11,576370.974986346 ,950.4969041,82.7,70.5,76.6,2
2007,12,663948.135814696 ,1247.686957,80,71.1,75.55,2
2008,1,587546.000000000 ,1081.779656,79.5,67.6,73.55,2
2008,2,594767.000000000 ,1007.600701,81,68.4,74.7,1
2008,3,659203.000000000 ,1033.108441,83.8,70.7,77.25,0
2008,4,538420.000000000 ,845.2002904,83.7,70.7,77.2,1
2008,5,549334.000000000 ,883.3743813,85.5,72.9,79.2,0
2008,6,580625.000000000 ,1005.507907,86.8,74.1,80.45,1
2008,7,613592.000000000 ,1019.6901,88.9,75.5,82.2,0
2008,8,606336.000000000 ,970.8565752,88.4,74.8,81.6,0
2008,9,450500.000000000 ,759.783389,87.4,73.5,80.45,1
2008,10,496386.000000000 ,836.0937841,85.6,73.7,79.65,1
2008,11,485622.000000000 ,788.6592414,83.2,71.3,77.25,2
2008,12,551105.000000000 ,950.1643583,83.2,71.3,77.25,2
2009,1,513392.287665653 ,944.0847276,66.9,52.7,59.8,2
2009,2,513612.938653765 ,844.1331643,66.9,51.4,59.15,1
2009,3,541851.477132230 ,779.7663895,66.7,52.2,59.45,0
2009,4,530417.260356658 ,766.9462951,68.2,53.5,60.85,1
2009,5,514101.530822793 ,742.626563,70.2,56.7,63.45,0
2009,6,550562.650990736 ,817.2301701,73.9,51.8,62.85,1
2009,7,621751.415711527 ,899.1337162,74.5,58.8,66.65,0
2009,8,608522.027039371 ,834.3140157,76.2,58.9,67.55,0
2009,9,485084.166689391 ,717.0158833,75.6,58,66.8,1
2009,10,494926.410688565 ,767.643745,75.1,59.8,67.45,1
2009,11,476800.614604995 ,745.4480695,72.5,56.1,64.3,2
2009,12,569425.166145082 ,935.9460222,70.1,53.7,61.9,2
2010,1,523634.709720474 ,943.9375389,69.2,54,61.6,2
2010,2,517644.568881771 ,814.9870843,68,51.7,59.85,1
2010,3,597127.264856677 ,843.6027278,69.1,52.6,60.85,0
2010,4,541729.086730640 ,740.3374924,69.7,53.4,61.55,1
2010,5,547342.516375814 ,832.5669147,71.6,55.4,63.5,0
2010,6,607819.999999995 ,917.1176326,73.3,56,64.65,1
2010,7,680927.879677766 ,1074.350692,74.2,56.5,65.35,0
2010,8,647550.999999996 ,1054.402964,74.3,56.7,65.5,0
2010,9,528469.415193311 ,836.3783376,74.3,56.7,65.5,1
2010,10,564452.949639154 ,906.9566473,74,57,65.5,1
2010,11,536285.999999991 ,926.6004282,72.1,55.9,64,2
2010,12,623907.796708683 ,1075.360156,70,55.4,62.7,2
2011,1,586670.827014297 ,1146.915918,67.8,53.1,60.45,2
2011,2,579029.748846987 ,1000.609081,68.2,54.7,61.45,1
2011,3,615744.691405708 ,963.0404939,69.8,54.5,62.15,0
2011,4,567692.919902940 ,862.2641849,69.7,55.3,62.5,1
2011,5,549005.307210976 ,866.8319962,71.5,56.6,64.05,0
2011,6,607507.008326404 ,1011.012857,72.1,56.4,64.25,1
2011,7,667889.905232840 ,1089.072613,73.6,56.5,65.05,0
2011,8,651755.647230120 ,1036.4391,74.6,57.1,65.85,0
2011,9,553186.965439192 ,937.6395465,74.2,56.7,65.45,1
2011,10,568211.209311347 ,984.0246835,72.9,56.2,64.55,1
2011,11,557587.379566593 ,914.0360763,71,55.5,63.25,2
2011,12,670115.829701243 ,1235.515638,69.4,53.6,61.5,2
2012,1,632696.971918933 ,1318.147586,69.8,53.4,61.6,2
2012,2,609997.137469706 ,1101.710059,65.9,50.6,58.25,1
2012,3,691297.001494051 ,1163.057185,68.8,53,60.9,0
2012,4,616455.777935984 ,1044.564205,69.6,53.3,61.45,1
2012,5,615156.158173238 ,1035.802362,71.4,54.1,62.75,0
2012,6,679257.744937017 ,1221.464159,71.5,55.5,63.5,1
2012,7,724792.578208738 ,1325.182119,72.6,56.2,64.4,0
2012,8,728842.002427052 ,1237.045481,74.5,57.2,65.85,0
2012,9,588899.791894720 ,1086.817459,72.2,56.5,64.4,1
2012,10,618717.062789988 ,1113.023699,73.2,57,65.1,1
2012,11,634489.673145676 ,1115.025088,71.8,54.7,63.25,2
2012,12,726540.778954761 ,1430.834885,70.5,54.6,62.55,2
2013,1,649607.973488331 ,1341.047515,68.6,52.8,60.7,2
2013,2,638908.485861975 ,1193.942407,68.8,50.3,59.55,1
2013,3,734354.127562053 ,1260.835905,67.7,51.3,59.5,0
2013,4,630137.961568617 ,1044.268316,67.6,51.9,59.75,1
2013,5,633425.745772804 ,1034.93857,71.1,56.3,63.7,0
2013,6,711328.658730654 ,1288.663973,70.2,54.8,62.5,1
2013,7,752864.681501495 ,1318.92766,74.4,57.9,66.15,0
2013,8,738696.659525452 ,1268.703112,74.9,57,65.95,0
2013,9,585891.476261774 ,1057.275472,75.6,58.2,66.9,1
2013,10,615612.674466900 ,1098.754943,73.2,58.1,65.65,1
2013,11,609049.473948150 ,1060.170992,62.2,49,55.6,2
2013,12,703595.630279390 ,1384.911713,63.4,49.7,56.55,2
2014,1,664954.279174007 ,1392.35082,67.4,52.7,60.05,2
2014,2,630931.123394165 ,1209.276041,69.3,55.4,62.35,1
2014,3,718222.161066959 ,1234.698672,68.9,54,61.45,0
2014,4,639395.431684034 ,1101.951379,70.6,54.3,62.45,1
2014,5,642091.263164891 ,1072.767209,71.1,56.3,63.7,0
2014,6,723663.164512496 ,1282.997683,71.3,54.4,62.85,1
2014,7,771243.615129882 ,1365.999947,75.2,58.4,66.8,0
2014,8,730706.679951079 ,1273.603057,76.4,58.4,67.4,0
2014,9,609011.228326019 ,1079.292019,65.6,51.6,58.6,1
2014,10,647864.779378395 ,1180.243163,74.2,59.4,66.8,1
2014,11,629048.249232249 ,1110.873909,71.9,56.5,64.2,2
2014,12,752476.177666346 ,1474.418733,67.9,51,59.45,2
2015,1,669611.712625163 ,1392.8,62.9,48.2,55.55,2
2015,2,650036.316210703 ,1187.2,68.8,53.9,61.35,1
2015,3,765358.384767429 ,1261.9,68,52.5,60.25,0
2015,4,665392.913169510 ,1157.4,72.2,55,63.6,1
2015,5,698584.235574113 ,1205.8,65.6,51.5,58.55,0
2015,6,767408.445509405 ,1339.5,73.1,55.5,64.3,1
2015,7,813491.286489345 ,1420.2,75.5,60.3,67.9,0
2015,8,755862.685157232 ,1267.5,77,62.9,69.95,0
2015,9,628451.075743609 ,1073.1,73.4,60.4,66.9,1
2015,10,674699.364371269 ,1158,75.3,59.5,67.4,1
2015,11,657603.109309870 ,1141.5,71.6,56.2,63.9,2
2015,12,787478.837627550 ,1515.5,50.1,38.7,44.4,2