Average high temperature,Average low temperature,Average temperature,extra vacation
80.9,68.8,74.85,2
80.2,66.7,73.45,1
80.5,67.9,74.2,0
83.6,69.7,76.65,1
85,71.6,78.3,0
87.3,74.1,80.7,1
88,75.2,81.6,0
88.3,75.8,82.05,0
88.2,74.9,81.55,1
86.3,74,80.15,1
82.7,70.5,76.6,2
80,71.1,75.55,2
79.5,67.6,73.55,2
81,68.4,74.7,1
83.8,70.7,77.25,0
83.7,70.7,77.2,1
85.5,72.9,79.2,0
86.8,74.1,80.45,1
88.9,75.5,82.2,0
88.4,74.8,81.6,0
87.4,73.5,80.45,1
85.6,73.7,79.65,1
83.2,71.3,77.25,2
83.2,71.3,77.25,2
66.9,52.7,59.8,2
66.9,51.4,59.15,1
66.7,52.2,59.45,0
68.2,53.5,60.85,1
70.2,56.7,63.45,0
73.9,51.8,62.85,1
74.5,58.8,66.65,0
76.2,58.9,67.55,0
75.6,58,66.8,1
75.1,59.8,67.45,1
72.5,56.1,64.3,2
70.1,53.7,61.9,2
69.2,54,61.6,2
68,51.7,59.85,1
69.1,52.6,60.85,0
69.7,53.4,61.55,1
71.6,55.4,63.5,0
73.3,56,64.65,1
74.2,56.5,65.35,0
74.3,56.7,65.5,0
74.3,56.7,65.5,1
74,57,65.5,1
72.1,55.9,64,2
70,55.4,62.7,2
67.8,53.1,60.45,2
68.2,54.7,61.45,1
69.8,54.5,62.15,0
69.7,55.3,62.5,1
71.5,56.6,64.05,0
72.1,56.4,64.25,1
73.6,56.5,65.05,0
74.6,57.1,65.85,0
74.2,56.7,65.45,1
72.9,56.2,64.55,1
71,55.5,63.25,2
69.4,53.6,61.5,2
69.8,53.4,61.6,2
65.9,50.6,58.25,1
68.8,53,60.9,0
69.6,53.3,61.45,1
71.4,54.1,62.75,0
71.5,55.5,63.5,1
72.6,56.2,64.4,0
74.5,57.2,65.85,0
72.2,56.5,64.4,1
73.2,57,65.1,1
71.8,54.7,63.25,2
70.5,54.6,62.55,2
68.6,52.8,60.7,2
68.8,50.3,59.55,1
67.7,51.3,59.5,0
67.6,51.9,59.75,1
71.1,56.3,63.7,0
70.2,54.8,62.5,1
74.4,57.9,66.15,0
74.9,57,65.95,0
75.6,58.2,66.9,1
73.2,58.1,65.65,1
62.2,49,55.6,2
63.4,49.7,56.55,2
67.4,52.7,60.05,2
69.3,55.4,62.35,1
68.9,54,61.45,0
70.6,54.3,62.45,1
71.1,56.3,63.7,0
71.3,54.4,62.85,1
75.2,58.4,66.8,0
76.4,58.4,67.4,0
65.6,51.6,58.6,1
74.2,59.4,66.8,1
71.9,56.5,64.2,2
67.9,51,59.45,2
62.9,48.2,55.55,2
68.8,53.9,61.35,1
68,52.5,60.25,0
72.2,55,63.6,1
65.6,51.5,58.55,0
73.1,55.5,64.3,1
75.5,60.3,67.9,0
77,62.9,69.95,0
73.4,60.4,66.9,1
75.3,59.5,67.4,1
71.6,56.2,63.9,2
50.1,38.7,44.4,2